363346000,Malignant neoplastic disease (disorder),1195193017,Preferred,0
363346000,Malignant neoplastic disease,1208875016,Preferred,0
363346000,CA - Cancer,1228479013,Acceptable,0
363346000,Cancer,1228478017,Acceptable,0
363346000,Malignant neoplasm,1228480011,Acceptable,0
363346000,Malignant tumor,482492018,Acceptable,0
363346000,Malignant tumour,482491013,Acceptable,0
86049000,"Malignant neoplasm, primary (morphologic abnormality)",828230015,Preferred,1
86049000,"Neoplasm, malignant (primary)",506904011,Preferred,1
86049000,Blastoma,142663011,Acceptable,1
86049000,Cancer,142666015,Acceptable,1
86049000,Cancer morphology,1235086017,Acceptable,1
86049000,Malignancy,142665016,Acceptable,1
86049000,Malignant neoplasm,201257013,Acceptable,1
86049000,"Malignant neoplasm, primary",2774235011,Acceptable,1
86049000,Malignant tumor morphology,1218517017,Acceptable,1
86049000,Malignant tumour morphology,1217029017,Acceptable,1
86049000,"Neoplasm, malignant",142662018,Acceptable,1
86049000,"Tumor, malignant",142670011,Acceptable,1
86049000,"Tumour, malignant",142669010,Acceptable,1
86049000,"Unclassified tumor, malignant",142667012,Acceptable,1
86049000,"Unclassified tumour, malignant",201256016,Acceptable,1
38807002,Disorder: Primary malignant neoplasm (disorder),775140014,Preferred,2
38807002,Malignant neoplastic disease (primary),197410015,Preferred,2
38807002,CA - Cancer,491788012,Acceptable,2
38807002,Cancer,491786011,Acceptable,2
38807002,Malignant neoplasm,491787019,Acceptable,2
269513004,Malignant neoplasms (& carcinoma) (disorder),2712079017,Preferred,3
269513004,Malignant neoplasms (& carcinoma),403764018,Preferred,3
269513004,Carcinoma,403767013,Acceptable,3
269513004,Malignant neoplasms,403766016,Acceptable,3
269513004,Neoplasms - malignant,403765017,Acceptable,3
154433003,Malignant neoplasms (& carcinoma) (disorder),2715332015,Preferred,4
154433003,Malignant neoplasms (& carcinoma),239870014,Preferred,4
154433003,Carcinoma,239873011,Acceptable,4
154433003,Malignant neoplasms,239871013,Acceptable,4
154433003,Neoplasms - malignant,239872018,Acceptable,4
86049000,"Malignant neoplasm, primary (morphologic abnormality)",828230015,Preferred,5
86049000,"Neoplasm, malignant (primary)",506904011,Preferred,5
86049000,Blastoma,142663011,Acceptable,5
86049000,Cancer,142666015,Acceptable,5
86049000,Cancer morphology,1235086017,Acceptable,5
86049000,Malignancy,142665016,Acceptable,5
86049000,Malignant neoplasm,201257013,Acceptable,5
86049000,"Malignant neoplasm, primary",2774235011,Acceptable,5
86049000,Malignant tumor morphology,1218517017,Acceptable,5
86049000,Malignant tumour morphology,1217029017,Acceptable,5
86049000,"Neoplasm, malignant",142662018,Acceptable,5
86049000,"Tumor, malignant",142670011,Acceptable,5
86049000,"Tumour, malignant",142669010,Acceptable,5
86049000,"Unclassified tumor, malignant",142667012,Acceptable,5
86049000,"Unclassified tumour, malignant",201256016,Acceptable,5
269513004,Malignant neoplasms (& carcinoma) (disorder),2712079017,Preferred,6
269513004,Malignant neoplasms (& carcinoma),403764018,Preferred,6
269513004,Carcinoma,403767013,Acceptable,6
269513004,Malignant neoplasms,403766016,Acceptable,6
269513004,Neoplasms - malignant,403765017,Acceptable,6
154433003,Malignant neoplasms (& carcinoma) (disorder),2715332015,Preferred,7
154433003,Malignant neoplasms (& carcinoma),239870014,Preferred,7
154433003,Carcinoma,239873011,Acceptable,7
154433003,Malignant neoplasms,239871013,Acceptable,7
154433003,Neoplasms - malignant,239872018,Acceptable,7
269634000,Malignant neoplasm NOS (& sarcoma NOS) (disorder),2717344018,Preferred,8
269634000,Malignant neoplasm NOS (& sarcoma NOS),404047015,Preferred,8
269634000,Malignant neoplasm NOS,404045011,Acceptable,8
269634000,Sarcoma NOS,404046012,Acceptable,8
266987004,History of malignant neoplasm (situation),2986533011,Preferred,9
266987004,H/O: malignant neoplasm,2575880014,Preferred,9
266987004,H/O: cancer,397821018,Acceptable,9
266987004,H/O: malignancy,397819011,Acceptable,9
266987004,H/O: mitotic lesion,397820017,Acceptable,9
266987004,History of cancer,3687193010,Acceptable,9
266987004,History of malignant neoplasm,2986363018,Acceptable,9
188249002,Malignant renal neoplasm (& [other unspecified urinary organs]) (disorder),2716574017,Preferred,10
188249002,Malignant renal neoplasm (& [other unspecified urinary organs]),289282013,Preferred,10
188249002,Malignant neoplasm of kidney and other unspecified urinary organs,289284014,Acceptable,10
188249002,Renal malignant neoplasm,289283015,Acceptable,10
93791000,"Primary malignant neoplasm of eye, primary (disorder)",837599013,Preferred,11
93791000,Primary malignant neoplasm of eye (primary),510629017,Preferred,11
93791000,Malignant neoplasm of eye,510632019,Acceptable,11
93791000,Malignant tumor of eye,510631014,Acceptable,11
93791000,Malignant tumour of eye,510630010,Acceptable,11
93819009,Primary malignant neoplasm of gum (disorder),837632011,Preferred,12
93819009,Primary malignant neoplasm of gum,510673018,Preferred,12
93819009,CA - Cancer of gum,510678010,Acceptable,12
93819009,Cancer of gum,510677017,Acceptable,12
93819009,Malignant tumor of alveolar mucosa,510674012,Acceptable,12
93819009,Malignant tumor of gingiva,510675013,Acceptable,12
93819009,Malignant tumor of gum,510676014,Acceptable,12
93819009,Malignant tumour of alveolar mucosa,510681017,Acceptable,12
93819009,Malignant tumour of gingiva,510679019,Acceptable,12
93819009,Malignant tumour of gum,510680016,Acceptable,12
1090921000000106,Malignant neoplasm of jaw (disorder),2732731000000115,Preferred,13
1090921000000106,Malignant neoplasm of jaw,2732721000000117,Preferred,13
93866008,Primary malignant neoplasm of leg (disorder),837689010,Preferred,14
93866008,Primary malignant neoplasm of leg,510762015,Preferred,14
443648003,Malignant neoplasm of ear (disorder),2834816010,Preferred,15
443648003,Malignant neoplasm of ear,2839851017,Preferred,15
93845000,Primary malignant neoplasm of jaw (disorder),837664016,Preferred,16
93845000,Primary malignant neoplasm of jaw,510727013,Preferred,16
93869001,Primary malignant neoplasm of lip (disorder),837692014,Preferred,17
93869001,Primary malignant neoplasm of lip,510765018,Preferred,17
93869001,CA - Cancer of lip,510768016,Acceptable,17
93869001,Cancer of lip,510767014,Acceptable,17
93869001,Malignant tumor of lip,510766017,Acceptable,17
93869001,Malignant tumour of lip,510769012,Acceptable,17
93990005,Primary malignant neoplasm of rib (disorder),837840015,Preferred,18
93990005,Primary malignant neoplasm of rib,510962011,Preferred,18
187922009,Malignant neoplasm of rib (disorder),2710666019,Preferred,19
187922009,Malignant neoplasm of rib,288891010,Preferred,19
187599002,Malignant neoplasm of lip (& carcinoma) (disorder),2716348012,Preferred,20
187599002,Malignant neoplasm of lip (& carcinoma),288346014,Preferred,20
187599002,Carcinoma of lip,288348010,Acceptable,20
187599002,Malignant neoplasm of lip,288347017,Acceptable,20
187922009,Malignant neoplasm of rib (disorder),2710666019,Preferred,21
187922009,Malignant neoplasm of rib,288891010,Preferred,21
363461003,Malignant tumor of eye (disorder),755288019,Preferred,22
